,address,zip-code,lat,lng,cluster-label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
26,"ул. Семашко, 5",220027,53.8606217,27.497926300000003,2,Café,Park,Zoo Exhibit,Farmers Market,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Fast Food Restaurant
27,"ул. Маяковского, 164",220028,53.8633581,27.5708799,0,Convenience Store,Salon / Barbershop,Soccer Stadium,Cafeteria,Café,Theater,Train,Athletics & Sports,Doner Restaurant,Coffee Shop
28,"ул.Коммунистическая, 3",220029,53.91166639999999,27.565174600000006,1,Coffee Shop,Dance Studio,Arcade,Park,Café,Office,Bar,Bath House,Eastern European Restaurant,Tea Room
29,"ул. Кирова, 33",220030,53.8989762,27.563557399999997,1,Café,Boutique,Bookstore,Theater,Wine Bar,Restaurant,Coffee Shop,Art Museum,Clothing Store,Zoo Exhibit
30,"ул. Славянская, 4",220031,53.93642510000001,27.7200152,2,Park,Vegetarian / Vegan Restaurant,Zoo Exhibit,Duty-free Shop,Electronics Store,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant
31,"ул. Филимонова, 45",220032,53.922778,27.636838,1,Park,Gym,Waterfall,Café,Heliport,Department Store,Dance Studio,History Museum,College Gym,Indoor Play Area
32,"ул. Рыбалко, 2",220033,53.88496529999999,27.5943195,0,Cafeteria,Grocery Store,Pizza Place,Food & Drink Shop,Farmers Market,Park,Bath House,Gas Station,Go Kart Track,Café
33,"ул. Козлова, 6",220034,53.90838249999999,27.581717100000002,1,Coffee Shop,Café,Salon / Barbershop,Cosmetics Shop,Pizza Place,Concert Hall,Wine Bar,Sushi Restaurant,Park,Electronics Store
34,"ул. Тарханова, 11",220035,53.9180661,27.529327000000002,1,Gym,Hotel,Park,Fountain,Karaoke Bar,Pool,Restaurant,Eastern European Restaurant,Casino,Café
35,"ул. Коржа, 11",220036,53.89504029999999,27.5203662,1,Hotel,Park,Dessert Shop,Bar,Auto Garage,Supermarket,Gym,Gym / Fitness Center,Pharmacy,Lake
36,"ул. Уральская, 16",220037,53.9023605,27.617166499999996,1,Gourmet Shop,Skate Park,Nudist Beach,Gym Pool,Dance Studio,Buffet,Kebab Restaurant,Tennis Stadium,Athletics & Sports,Fabric Shop
37,"ул. Долгобродская, 4",220038,53.90108129999999,27.601550699999997,1,Gym,Pelmeni House,Tennis Court,Basketball Court,Café,Park,Department Store,River,Sushi Restaurant,Fish Market
38,"ул. Брилевская, 14",220039,53.87678960000001,27.5316228,0,Cafeteria,Gym / Fitness Center,Coffee Shop,Gym,Arts & Crafts Store,Gift Shop,Train Station,Liquor Store,Historic Site,Museum
39,"ул. Беды, 19",220040,53.9325491,27.588974,1,Restaurant,Café,Shopping Mall,Gym,Gym / Fitness Center,Art Gallery,Pharmacy,Hookah Bar,Beer Store,Gift Shop
40,"ул. Рафиева, 44",220041,53.865362100000006,27.4531202,1,Food & Drink Shop,Shopping Mall,Flower Shop,Convenience Store,Supermarket,Coffee Shop,Gym,Pizza Place,Market,Garden
41,"пр.Дзержинского, 91 (супермаркет ""Алми"")",220042,53.85964560000001,27.481967200000003,1,Pizza Place,Coffee Shop,Shopping Mall,Zoo Exhibit,Laser Tag,Clothing Store,Rock Climbing Spot,Science Museum,Café,Snack Place
42,"пр. Независимости, 95",220043,53.925901,27.616686600000005,1,Casino,Health Food Store,Pharmacy,Train Station,Gym,Gym / Fitness Center,Modern European Restaurant,Caucasian Restaurant,Coffee Shop,Health & Beauty Service
43,"ул. Барамзиной, 16",220044,53.8769185,27.9023403,4,Café,Food & Drink Shop,Big Box Store,Department Store,Zoo Exhibit,Fast Food Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant
44,"ул. Наполеона Орды, 23",220045,53.843719400000005,27.481597100000002,1,Food & Drink Shop,Pharmacy,Hardware Store,Coffee Shop,Cosmetics Shop,Fried Chicken Joint,Basketball Court,Bakery,Grocery Store,Gym
45,"ул. Солтыса, 189",220046,53.8991201,27.6495517,0,Clothing Store,Metro Station,Cafeteria,Candy Store,Sushi Restaurant,Food Court,Falafel Restaurant,Ethiopian Restaurant,Event Space,Food Service
46,"ул. Нестерова, 51",220047,53.8847108,27.6832536,1,Soccer Field,Pizza Place,Gym / Fitness Center,Department Store,Food & Drink Shop,Auto Garage,Gym Pool,Beer Store,Hotel,Forest
47,"ул. Романовская Слобода, 24",220048,53.904033999999996,27.5440831,1,Coffee Shop,Clothing Store,Gym,Italian Restaurant,Arcade,Bookstore,Arts & Crafts Store,Bar,Miscellaneous Shop,Liquor Store
48,"ул.Кнорина, 16",220049,53.935181400000005,27.6137549,1,Bar,Café,Park,Gym,Gym / Fitness Center,Pharmacy,Movie Theater,Zoo Exhibit,Ethiopian Restaurant,Event Space
49,"ул. Рафиева, 93, к.4",220051,53.8597499,27.437726399999995,1,Cosmetics Shop,Park,Auto Garage,Coffee Shop,Dance Studio,Office,Dog Run,Tennis Stadium,Zoo Exhibit,Farmers Market
50,"ул. Брыля, 30",220052,53.8800006,27.4850347,1,Big Box Store,Burger Joint,Lake,Beer Bar,Beer Store,General Entertainment,Bakery,River,Flower Shop,Fishing Store
51,"Старовиленский тр., 28/1",220053,53.928028399999995,27.544986699999995,1,Tram Station,Beer Store,Beach,Board Shop,Food & Drink Shop,Supermarket,Smoothie Shop,Park,Bakery,Eastern European Restaurant
52,тер. аэропорта Минск-2,220054,53.88920299999999,28.034234899999998,1,Airport Service,Café,Airport Lounge,Science Museum,Duty-free Shop,Border Crossing,Airport Terminal,Airport,Cruise,Fish Market
53,"ул. Жиновича, 21",220055,53.92322339999999,27.4425548,1,Big Box Store,Shopping Mall,Food,Gym / Fitness Center,Supermarket,Café,Beer Bar,Pizza Place,Auto Garage,Kids Store
54,"ул. Героев 120 дивизии, 9",220056,53.94834839999999,27.708409999999997,1,Beer Store,Stadium,Pizza Place,Eastern European Restaurant,Paintball Field,Grocery Store,Automotive Shop,Big Box Store,Gym Pool,Liquor Store
55,"ул.Гуртьева, 7",220057,53.95884419999999,27.739282300000003,3,Music Venue,Basketball Court,Zoo Exhibit,Fast Food Restaurant,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farmers Market
56,"ул. Налибокская, 36     (ТЦ ""Квадро"")",220058,53.92771120000001,27.432796600000003,1,Gym,Grocery Store,Ice Cream Shop,Department Store,Martial Arts Dojo,Sports Club,Auto Garage,Beer Store,Big Box Store,Flower Shop
57,"ул. Панченко, 60",220059,53.88994649999999,27.415799800000002,1,Cosmetics Shop,Big Box Store,Bath House,Gym / Fitness Center,Lake,Pharmacy,Beer Store,Pizza Place,Eastern European Restaurant,Supermarket
58,"ул. Вокзальная, 22",220060,53.8891603,27.5511594,1,Clothing Store,Cosmetics Shop,Lingerie Store,Auto Dealership,Coffee Shop,Electronics Store,Shoe Store,Shopping Mall,Café,Burger Joint
59,"ул. Каменногорская, 3 (ТЦ ""Горка Дом"")",220061,53.91109290000001,27.4152788,1,Beer Store,Grocery Store,Pizza Place,Football Stadium,Supermarket,Furniture / Home Store,Big Box Store,Soccer Field,Bookstore,Department Store
60,"пр. Победителей, 123",220062,53.938931999999994,27.4705863,1,Café,Athletics & Sports,Hockey Arena,Pizza Place,Restaurant,Cosmetics Shop,Golf Course,Beer Bar,Beer Store,Miscellaneous Shop
61,"ул. Нёманская, 35",220063,53.91415379999999,27.426090600000002,1,Boutique,Clothing Store,Food & Drink Shop,Big Box Store,Modern European Restaurant,Cave,Bakery,Gym,Cosmetics Shop,Cruise
62,"ул. Ландера, 36а",220064,53.84221609999999,27.493084999999997,1,Auto Garage,Train Station,Pizza Place,Zoo Exhibit,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop
63,"ул. Аэродромная, 7",220065,53.873294200000004,27.538242699999998,1,BBQ Joint,Auto Dealership,Food & Drink Shop,Belarusian Restaurant,Bookstore,Racetrack,Airport,Cultural Center,Eye Doctor,Fabric Shop
64,"ул. Ташкентская, 16",220066,53.8408836,27.6308312,1,Grocery Store,Clothing Store,Hotel,Ethiopian Restaurant,Hockey Arena,Pizza Place,Market,Park,Fabric Shop,Eastern European Restaurant
65,"ул. Шпилевского, 54",220067,53.846539,27.562959999999997,1,Gym / Fitness Center,Gym,Grocery Store,Coffee Shop,Beer Store,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space,Eye Doctor
66,"бул. Шевченко, 17",220068,53.92849769999999,27.554844199999998,1,Convenience Store,Beer Store,Park,Eastern European Restaurant,Coffee Shop,Movie Theater,Furniture / Home Store,Casino,Shopping Mall,Gym / Fitness Center
67,"пр. Дзержинского, 11",220069,53.88861850000001,27.520911600000005,1,Food & Drink Shop,Board Shop,Gym / Fitness Center,Gym,Café,Convenience Store,Gastropub,Garden Center,Park,Pharmacy
68,"ул. Ванеева,18",220070,53.8819228,27.612199199999996,1,Café,Coffee Shop,Concert Hall,Plaza,Soccer Stadium,Furniture / Home Store,Park,Gym,Pizza Place,Jewelry Store
69,"ул. Смолячкова, 21",220071,53.9117659,27.587968100000005,1,Café,Coffee Shop,Park,Tram Station,Restaurant,Caucasian Restaurant,Liquor Store,Gastropub,Electronics Store,Beer Bar
70,"ул. Академическая, 1",220072,53.9197326,27.5981927,1,Pharmacy,Bookstore,Pizza Place,Pool Hall,Italian Restaurant,Bar,Gym,Café,Fast Food Restaurant,Shoe Store
71,"ул. Ольшевского, 11",220073,53.913710800000004,27.5043933,1,Gym,Restaurant,Pharmacy,Plaza,Café,Doner Restaurant,Shoe Repair,Cemetery,Gym / Fitness Center,Department Store
72,"ул. Берута, 24, к.1",220074,53.89882629999999,27.5060711,0,Gym,Café,Dance Studio,Cafeteria,Beach,Athletics & Sports,Park,Falafel Restaurant,Event Space,Eye Doctor
73,"ул. Бачило, 12",220075,53.84253260000001,27.700881,1,Food & Drink Shop,Coffee Shop,Bank,Café,Gym,Beer Store,Big Box Store,Furniture / Home Store,Climbing Gym,Soccer Field
74,"ул. Голодеда, 49",220077,53.8369855,27.6223192,1,Caucasian Restaurant,Food & Drink Shop,Pharmacy,Fish Market,Fast Food Restaurant,Deli / Bodega,Park,Paper / Office Supplies Store,Pizza Place,Eye Doctor
75,"ул. Маршала Лосика, 31",220078,53.87353929999999,27.4418273,1,Salsa Club,Arcade,Fast Food Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farmers Market
76,"ул. Кальварийская, 44",220079,53.908245799999996,27.513882799999998,1,Gym,Coffee Shop,Park,Beer Bar,Shoe Store,Gym / Fitness Center,Gym Pool,Cafeteria,Juice Bar,Athletics & Sports
77,"ул. Сердича,10",220082,53.9117454,27.489287100000006,1,Coffee Shop,Park,Bridal Shop,Shopping Mall,Skating Rink,Pet Store,Pizza Place,Theme Park,Bistro,Gourmet Shop
78,"пр. Рокоссовского, 113",220085,53.858221900000004,27.6151604,1,Grocery Store,Gourmet Shop,Movie Theater,Skate Park,Beer Store,Big Box Store,Jewelry Store,River,Supermarket,Bookstore
79,"ул. Славинского, 45",220086,53.9387814,27.6420066,1,Gym,Electronics Store,Supermarket,Pool Hall,Gym / Fitness Center,Outdoor Sculpture,Pizza Place,Department Store,Snack Place,Buffet
80,"ул. Пулихова, 19",220088,53.897742,27.579441499999998,1,Theme Park Ride / Attraction,Dance Studio,Park,Chinese Restaurant,Waterfront,Café,Gym,Spa,Gourmet Shop,Bathing Area
82,"Логойский тракт, 27",220090,53.952785399999996,27.617507300000003,1,Kebab Restaurant,Supermarket,Pharmacy,Tram Station,Gym / Fitness Center,Bistro,Electronics Store,Beer Store,Soccer Field,Sushi Restaurant
83,"пр.Пушкина, 28",220092,53.9054632,27.4973685,1,Hotel,Kids Store,Public Art,Coffee Shop,Pharmacy,Pet Store,Eastern European Restaurant,Café,Park,Cosmetics Shop
84,"ул. Ольшевского, 57",220093,53.9205461,27.492921399999997,1,Pizza Place,Pharmacy,Indie Theater,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop
85,"пр. Рокоссовского, 33",220094,53.87043739999999,27.6026935,1,Café,Department Store,Fast Food Restaurant,Park,Grocery Store,Pet Store,Scenic Lookout,Pizza Place,Big Box Store,Supermarket
86,"ул. Якубова, 66,к.2",220095,53.86329620000001,27.587141,1,Park,Tram Station,Bike Trail,Cosmetics Shop,Waterfront,Gym / Fitness Center,Tennis Court,Camera Store,Pool,Forest
87,"ул. Голодеда, 7",220096,53.8387407,27.6472342,4,Department Store,Liquor Store,Supermarket,Café,Wine Shop,Park,Farmers Market,Ethiopian Restaurant,Event Space,Eye Doctor
88,"ул. Слободская, 15",220098,53.860778,27.4299776,4,Department Store,Food & Drink Shop,Movie Theater,Shopping Mall,Food Court,Food Service,Food,Flower Shop,Fishing Store,Fish Market
89,"ул. Бресткая, 56, к.1",220099,53.85573539999999,27.520293300000002,0,Pizza Place,Gourmet Shop,Food & Drink Shop,Auto Garage,Cafeteria,Buffet,Health Food Store,Zoo Exhibit,Ethiopian Restaurant,Event Space
90,"ул. Богдановича, 78",220100,53.92825999999999,27.5745222,1,Gym / Fitness Center,Jewelry Store,Fast Food Restaurant,Casino,Electronics Store,Supermarket,Bookstore,TV Station,Coffee Shop,Karaoke Bar
91,"ул. Малинина, 28, к.5",220101,53.850789,27.606042,1,Cosmetics Shop,Tennis Court,Park,River,Tram Station,Athletics & Sports,Electronics Store,Ethiopian Restaurant,Event Space,Eye Doctor
92,"пр. Партизанский, 147",220102,53.8649277,27.6663266,1,Fast Food Restaurant,Supermarket,Clothing Store,Bakery,Gym Pool,Café,Grocery Store,Theater,Gourmet Shop,Nature Preserve
93,"ул. Калиновского, 55",220103,53.947211800000005,27.6290917,1,Gym,Bakery,Deli / Bodega,Electronics Store,Grocery Store,Tennis Court,Gym / Fitness Center,Park,Cafeteria,Athletics & Sports
94,"ул. Жудро, 59",220104,53.9209063,27.4795343,2,Park,Café,Convenience Store,Spa,Bath House,Auto Garage,Gym Pool,Pharmacy,Tennis Stadium,Tennis Court
95,"пр. Партизанский, 34, к.1",220107,53.8768551,27.6185083,0,Convenience Store,Tram Station,Cosmetics Shop,Miscellaneous Shop,Cafeteria,Café,Grocery Store,Pharmacy,Food & Drink Shop,Hotel
96,"ул. Корженевского, 25",220108,53.846514,27.500782899999997,0,Farmers Market,Grocery Store,Food & Drink Shop,Cafeteria,Athletics & Sports,Park,Falafel Restaurant,Event Space,Eye Doctor,Fabric Shop
97,"ул. Ак. Красина, 25 блок «А»",220109,53.8256279,27.7649054,4,Department Store,Kosher Restaurant,Eastern European Restaurant,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farmers Market,Fast Food Restaurant
98,"пр. Рокоссовского, 49",220111,53.866942200000004,27.603940299999998,1,Bookstore,Wine Shop,Café,Pizza Place,Fish Market,Gun Range,Food & Drink Shop,Sushi Restaurant,Food,Flower Shop
99,"ул. Лучины, 8",220112,53.838357499999994,27.568270000000002,1,Cosmetics Shop,Big Box Store,Café,Pet Store,Clothing Store,Optical Shop,Beer Store,Wine Shop,Fishing Store,Fish Market
100,"Логойский тр., 1, к.1",220113,53.940496100000004,27.6055473,1,Food & Drink Shop,Gym / Fitness Center,Coffee Shop,Liquor Store,Gym,Bike Shop,Supermarket,Sushi Restaurant,Bookstore,Beer Store
101,"пр. Независимости, 131,к.1",220114,53.932498800000005,27.6438935,1,Coffee Shop,Bakery,Clothing Store,Scenic Lookout,Park,Gym,Bar,Fast Food Restaurant,Furniture / Home Store,Belarusian Restaurant
102,"ул. Кижеватова, 80, к.1",220115,53.84474849999999,27.534202399999998,0,Auto Dealership,Cafeteria,Stadium,Auto Garage,Hostel,Café,Big Box Store,Fast Food Restaurant,Eye Doctor,Fabric Shop
103,"пр. газеты «Правда», 20",220116,53.8676745,27.483981699999998,1,Supermarket,Hotel,Clothing Store,German Restaurant,Gym / Fitness Center,Pharmacy,Soccer Field,Mobile Phone Shop,Fast Food Restaurant,Café
104,"пр. газеты «Звязда», 55",220117,53.85846549999999,27.4632588,1,Historic Site,Hotel,Grocery Store,Spa,Gym / Fitness Center,Optical Shop,Arts & Crafts Store,Park,Health & Beauty Service,Athletics & Sports
105,"ул. Шишкина, 26",220118,53.85871599999999,27.6335995,0,Reservoir,Cafeteria,Athletics & Sports,Liquor Store,Food & Drink Shop,Food,Flower Shop,Fishing Store,Fish Market,Fast Food Restaurant
106,"ул. Карбышева, 9, к.3",220119,53.954030599999996,27.632144099999998,1,Diner,Convenience Store,Park,Restaurant,Breakfast Spot,Seafood Restaurant,Gym,Big Box Store,Pizza Place,Gym / Fitness Center
107,"ул. Казинца, 120",220120,53.842649300000005,27.504046799999998,0,Shopping Mall,Gourmet Shop,Food & Drink Shop,Sushi Restaurant,Cafeteria,Italian Restaurant,Japanese Restaurant,Falafel Restaurant,Electronics Store,Ethiopian Restaurant
108,"ул. Петра Глебки, 2",220121,53.90892660000001,27.4732373,1,Fast Food Restaurant,Park,Sushi Restaurant,Beer Store,Beer Bar,Coffee Shop,Clothing Store,Pet Store,Sporting Goods Shop,Supermarket
109,"ул. Богдановича, 53",220123,53.9191103,27.5650567,1,Café,Lingerie Store,Restaurant,Nightclub,Coffee Shop,Food Court,Brewery,Beer Store,Fried Chicken Joint,Martial Arts Dojo
110,"ул. Лынькова, 59",220124,53.92906070000001,27.4737327,0,Hotel,Eastern European Restaurant,Food & Drink Shop,Train Station,Gourmet Shop,Buffet,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space
111,"ул. Гинтовта, 14",220125,53.9484225,27.6717844,1,Coffee Shop,Pizza Place,Bakery,Food Truck,Grocery Store,Gym,Beer Bar,Café,Park,Bar
112,"пр. Победителей, 21",220126,53.9110218,27.545203000000004,1,Café,Hotel,Coffee Shop,Gym,Bakery,Cafeteria,Electronics Store,Gym / Fitness Center,Italian Restaurant,Fountain
113,"ул. Корженевского, 14",220127,53.8432922,27.515741600000002,1,Hotel,Stadium,Café,Gym / Fitness Center,Ski Area,Park,Plaza,Eastern European Restaurant,Zoo Exhibit,Eye Doctor
114,"ул. Петра Глебки, 118",220128,53.927380299999996,27.4814039,4,Track,Dive Bar,Department Store,Zoo Exhibit,Electronics Store,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant
115,"ул. Мирошниченко, 1",220131,53.95865799999999,27.6050216,1,Pharmacy,Clothing Store,Coffee Shop,Parking,Beach,Tennis Court,Beer Bar,Auto Garage,Farmers Market,Bath House
116,"ул. Бурдейного, 13",220134,53.903586100000005,27.455020299999997,1,Gym / Fitness Center,Coffee Shop,Pizza Place,IT Services,Rock Club,Clothing Store,Park,Café,Spa,Lingerie Store
117,"ул. Одинцова, 36,к.1",220136,53.90087710000001,27.435827500000002,1,Bookstore,Café,Wine Shop,Lake,Flower Shop,Pet Store,Fast Food Restaurant,Pizza Place,Gourmet Shop,Beer Store
118,"ул. Охотская, 135",220137,53.8798824,27.669094199999996,4,Grocery Store,Food & Drink Shop,Zoo Exhibit,Fast Food Restaurant,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farmers Market
119,"ул. Карвата, 31 г",220138,53.912468000000004,27.678243199999997,1,Auto Garage,Pedestrian Plaza,Convenience Store,Food & Drink Shop,Bakery,Laser Tag,Department Store,Pet Store,Soccer Field,Caucasian Restaurant
120,"ул. Притыцкого, 78",220140,53.9070955,27.446173100000003,1,Cosmetics Shop,Sushi Restaurant,Gym / Fitness Center,Casino,Doner Restaurant,Spa,Supermarket,Flower Shop,Fried Chicken Joint,Café
121,"ул. Руссиянова, 9",220141,53.9386772,27.684618800000003,1,Cosmetics Shop,Pet Store,Shoe Store,Shopping Mall,Park,Fast Food Restaurant,Gym / Fitness Center,Coffee Shop,Casino,Falafel Restaurant
